Customer ID,Age Group,Location,Gender,Family with Children,Dog Breed,Purchase Frequency,Average Spend,Product Preference,Loyalty Program Member,Last Purchase Date
d0a2f021-43b8-49f4-bca3-830a9b29e17d,56-65,suburban,F,yes,Poodle,weekly,30.25,grain-free,Yes,2022-09-19
cfb7ef4f-c51f-48a0-bde3-b4b682fbb356,56-65,urban,M,yes,Bulldog,monthly,57.03,wet,Yes,2023-05-03
345bfa01-af7d-4bab-a355-2f9664101968,18-25,suburban,M,yes,Dachshund,weekly,105.84,raw,No,2023-07-14
062ee64d-c213-4cfb-a16d-72cbb692078f,65+,urban,F,yes,Rottweiler,monthly,97.68,grain-free,No,2022-11-03
c584e53d-3728-4233-9d19-6aa2d0ac40f7,18-25,urban,F,no,German Shepherd,monthly,135.36,dry,Yes,2023-11-21
9edaf95f-d903-49a8-b92a-7b8b0a15994f,26-35,suburban,M,no,Boxer,quarterly,190.05,grain-free,No,2022-10-04
6968ff21-705b-49cd-b3d8-72016e303486,18-25,urban,M,no,Boxer,quarterly,40.23,grain-free,Yes,2023-11-20
9d674404-c774-42cc-8ce0-79f510f0cc6d,36-45,urban,F,yes,Poodle,weekly,101.33,wet,No,2023-05-11
7d35f27f-0e83-40f3-9412-f099dbdb22f1,56-65,urban,M,yes,Dachshund,monthly,54.63,raw,No,2024-03-25
d84168fc-4ab9-45d3-8a0e-48687dcf1fac,26-35,urban,F,no,Poodle,quarterly,180.94,raw,Yes,2023-09-12
d84c8397-76b4-459c-b09c-5497f2ac3557,18-25,urban,F,no,Labrador,monthly,193.62,raw,Yes,2022-08-04
f74b8867-6a9c-45a6-9d31-26dfd4b8f84d,65+,urban,M,yes,Siberian Husky,quarterly,106.17,grain-free,Yes,2023-04-15
6a7c530a-56e0-4be8-986c-ee3f94516264,36-45,suburban,F,no,Beagle,monthly,38.72,wet,Yes,2023-05-16
fb7a293d-4c5f-45ab-ab2e-0f587604a012,36-45,urban,F,no,German Shepherd,weekly,161.35,wet,No,2022-07-08
fad31c4d-a47b-4987-8524-ea1b45aafaa8,18-25,suburban,F,yes,Beagle,weekly,145.49,grain-free,Yes,2024-03-19
da990f97-fdcc-466f-bca3-8bc49e5b19f7,56-65,suburban,F,no,Siberian Husky,monthly,83.84,wet,Yes,2022-10-28
020a4008-2e73-484f-9116-97b431c058ce,18-25,urban,M,no,German Shepherd,quarterly,179.73,raw,Yes,2022-08-31
223fa0dd-cc73-4772-9d3a-84d201cab445,26-35,suburban,M,no,Beagle,quarterly,195.65,wet,Yes,2022-09-12
58b4da51-2316-4d83-a9f7-6047235676df,18-25,suburban,F,yes,German Shepherd,weekly,120.41,grain-free,Yes,2023-12-19
67b3f2d6-a4cf-457e-866f-b9bbd9e206f1,36-45,urban,F,no,Poodle,weekly,121.83,grain-free,Yes,2022-07-04
93d212f2-06cd-46b0-95c2-73c1f56e1af8,18-25,urban,F,no,Bulldog,weekly,73.55,dry,No,2023-12-06
61f39f55-0441-4b10-b4f2-f36d691dd778,56-65,urban,M,no,Great Dane,quarterly,125.21,dry,Yes,2022-11-01
33cae8ec-1da9-4d99-9461-adc3397558ad,65+,suburban,M,yes,German Shepherd,quarterly,99.14,wet,No,2022-06-03
1e44991d-2abc-4d8e-bbc9-f746da321b0a,46-55,suburban,F,yes,Siberian Husky,weekly,74.39,wet,Yes,2022-11-20
58cf2007-0302-4da4-8bf9-2bb908def49a,18-25,urban,F,no,Poodle,monthly,32.09,grain-free,No,2022-09-02
e698a43c-666a-4c9d-b320-9890c7746ddf,56-65,urban,F,yes,Great Dane,quarterly,65.49,dry,No,2022-06-09
85d39e69-9bae-40eb-ae8a-e566ce041cbd,56-65,suburban,M,no,Poodle,weekly,55.61,dry,No,2023-10-30
6568c112-353e-4226-9c16-fe9f2edcddc5,65+,suburban,F,yes,Labrador,monthly,117.57,raw,Yes,2023-01-15
306a18b7-ff20-4243-8767-9bbae7730623,36-45,suburban,M,yes,Rottweiler,quarterly,128.3,raw,No,2023-01-11
f8d47188-ca0b-42ae-9020-54e86cf7b0f9,56-65,suburban,F,no,Boxer,monthly,129.54,grain-free,Yes,2023-05-04
21d9c5d1-d434-4566-982a-a34452f983eb,56-65,urban,M,no,Labrador,monthly,89.87,grain-free,No,2024-02-03
894d8fc0-b4f9-46bc-9e9b-992c85985418,56-65,suburban,F,no,Siberian Husky,quarterly,95.82,grain-free,Yes,2023-11-13
b7295e8f-968e-4770-b826-a6aedbab24d6,56-65,suburban,M,yes,Dachshund,weekly,170.16,grain-free,Yes,2022-05-21
2e33314b-a003-4d72-ac2a-906dbcc8c46e,26-35,suburban,F,no,Dachshund,monthly,105.72,dry,No,2022-08-08
27170ab7-b3e2-4174-8746-332d210823de,26-35,suburban,M,yes,Boxer,weekly,197.8,grain-free,Yes,2023-01-09
67c7457c-7bf5-42bf-b229-7b62b7013658,36-45,urban,F,yes,Poodle,quarterly,99.13,grain-free,No,2022-06-18
fbe217fd-88e3-4887-a28a-84c73829d7f7,18-25,urban,M,no,Bulldog,monthly,136.92,dry,No,2024-02-26
9ea49fd7-70c7-43d5-8eaa-1839b5f9c6d2,56-65,suburban,M,yes,Siberian Husky,monthly,29.07,raw,Yes,2024-04-07
eddb6041-0cf8-42bf-8f7e-68a40f6ef2c4,65+,suburban,F,no,Boxer,monthly,137.6,grain-free,No,2022-05-01
d9c1e7cb-4120-4d48-9cb1-77e029fe38ee,18-25,urban,M,yes,Great Dane,monthly,173.26,raw,Yes,2024-01-31
3b484876-6cb3-4214-8155-69a76b60eb95,65+,urban,M,no,Great Dane,monthly,189.64,dry,No,2022-06-10
940ecc18-75fa-4e6a-80d8-696eef5c9255,18-25,suburban,F,yes,Dachshund,quarterly,199.52,raw,Yes,2024-01-03
b78fd10e-8dcf-46c1-a3bf-d9c2f9657892,36-45,suburban,M,yes,Rottweiler,monthly,70.79,dry,Yes,2022-05-25
9da442ad-8300-4e08-ac21-2bebcdeccb47,56-65,urban,F,no,Poodle,quarterly,123.57,grain-free,Yes,2022-07-01
bf26467d-fe6b-4aab-9c87-cdf217894bf3,56-65,urban,F,yes,Dachshund,weekly,101.13,raw,No,2022-04-27
5c651a90-e1cd-43a1-a18d-b9ccfcec8ebe,46-55,urban,F,no,Bulldog,quarterly,121.49,grain-free,Yes,2022-09-17
10333ab3-59b9-43db-9206-18b9eae653b3,65+,urban,M,yes,Boxer,monthly,48.34,wet,Yes,2023-08-09
d171d263-8b0d-4c5c-83fc-8f0e94b9c844,18-25,urban,M,yes,German Shepherd,weekly,174.11,wet,Yes,2023-12-26
f1fa1f30-20e6-47e7-bb8d-912eeeb5a32c,18-25,urban,M,yes,Bulldog,quarterly,183.72,raw,Yes,2022-09-02
f8a14c2a-20c4-419c-923e-6eb1f4230e11,26-35,suburban,F,no,German Shepherd,quarterly,100.94,dry,Yes,2024-04-06
50de11d1-b778-4bb5-a627-3138768796ec,46-55,urban,M,no,Poodle,quarterly,70.48,raw,Yes,2023-07-29
1ebf1d63-ef3c-4cd4-81a4-16ec86d445d4,26-35,urban,F,no,Boxer,monthly,45.35,dry,Yes,2024-03-13
7cff1e78-0226-49ae-a7a7-82269dde4eb5,26-35,urban,F,no,Great Dane,monthly,143.08,wet,Yes,2023-07-15
5a33582d-289a-447d-867e-535faf05bd23,26-35,urban,F,no,Great Dane,quarterly,76.2,dry,Yes,2024-02-19
90d72767-6181-4adc-80ff-aba0c597e5b8,65+,suburban,M,yes,Labrador,quarterly,183.72,wet,No,2023-12-01
ccb360ee-0f6a-47ff-827a-8ed8561d1655,65+,suburban,M,yes,Great Dane,weekly,140.78,raw,Yes,2023-02-06
48c9ede7-6532-480a-be2e-f8deeaf2d9f1,36-45,urban,M,no,Siberian Husky,monthly,136.22,grain-free,Yes,2023-02-24
1f523f33-a012-4fa8-8e47-8b7aa6e16abb,36-45,suburban,M,yes,Labrador,monthly,120.69,grain-free,Yes,2023-04-01
09992bb5-a02a-4161-b3f2-983c85962d0c,26-35,suburban,M,yes,Labrador,weekly,28.24,grain-free,No,2023-07-21
9a1e51eb-757c-49ab-9090-fb2115d56206,46-55,suburban,M,yes,Great Dane,quarterly,187.75,dry,Yes,2022-10-11
a8179fe5-79c0-451b-af93-84e30eab9e66,18-25,suburban,F,yes,Dachshund,quarterly,133.03,grain-free,Yes,2023-01-04
6919f86d-8387-4fc5-8919-08ea826acc67,65+,suburban,M,no,Rottweiler,weekly,198.93,dry,No,2023-09-08
8ba79bed-e54c-49a5-8c00-a83c358c623b,46-55,suburban,M,yes,Rottweiler,quarterly,116.72,grain-free,No,2022-12-06
a983bb5a-a9b0-4c79-9fb0-4e43ad067b6f,56-65,urban,F,no,Siberian Husky,quarterly,147.82,dry,No,2023-08-04
